Category: All categories

Day,NerdWallet: (United States),credit card points: (United States),travel credit card: (United States),best savings account: (United States)
2024-11-01,47,43,42,55
2024-11-02,42,45,44,37
2024-11-03,41,39,47,29
2024-11-04,41,49,45,44
2024-11-05,38,42,42,39
2024-11-06,28,23,31,28
2024-11-07,47,36,41,47
2024-11-08,54,41,42,52
2024-11-09,46,44,43,42
2024-11-10,36,45,42,35
2024-11-11,48,46,44,41
2024-11-12,53,45,49,53
2024-11-13,51,43,47,48
2024-11-14,49,42,43,51
2024-11-15,44,36,45,48
2024-11-16,37,42,46,33
2024-11-17,33,40,49,39
2024-11-18,49,43,50,50
2024-11-19,46,37,43,52
2024-11-20,49,47,52,48
2024-11-21,45,45,40,58
2024-11-22,45,37,41,55
2024-11-23,36,43,42,38
2024-11-24,28,38,40,32
2024-11-25,40,34,38,42
2024-11-26,46,35,42,45
2024-11-27,38,47,45,46
2024-11-28,28,32,34,30
2024-11-29,30,50,40,36
2024-11-30,42,44,51,41
2024-12-01,38,46,56,38
2024-12-02,48,52,52,50
2024-12-03,49,54,55,56
2024-12-04,45,42,46,65
2024-12-05,47,44,46,67
2024-12-06,46,40,43,55
2024-12-07,35,44,43,37
2024-12-08,31,36,44,33
2024-12-09,47,46,47,46
2024-12-10,48,46,44,55
2024-12-11,46,43,50,49
2024-12-12,44,48,54,49
2024-12-13,42,35,41,49
2024-12-14,42,45,49,40
2024-12-15,33,38,47,41
2024-12-16,40,41,42,52
2024-12-17,40,38,45,51
2024-12-18,52,47,45,52
2024-12-19,39,40,47,53
2024-12-20,36,45,42,44
2024-12-21,39,43,50,32
2024-12-22,40,44,34,30
2024-12-23,34,45,50,41
2024-12-24,33,35,34,35
2024-12-25,32,38,38,29
2024-12-26,44,52,55,51
2024-12-27,53,65,57,67
2024-12-28,50,56,59,55
2024-12-29,52,57,50,57
2024-12-30,56,61,73,58
2024-12-31,44,53,53,55
2025-01-01,56,47,55,52
2025-01-02,60,62,64,70
2025-01-03,63,52,62,67
2025-01-04,56,66,69,57
2025-01-05,49,64,74,52
2025-01-06,61,51,61,58
2025-01-07,61,59,64,61
2025-01-08,53,53,60,54
2025-01-09,52,49,58,54
2025-01-10,53,49,56,46
2025-01-11,57,61,65,56
2025-01-12,47,53,65,42
2025-01-13,53,51,50,54
2025-01-14,58,51,54,52
2025-01-15,63,55,58,57
2025-01-16,55,60,64,68
2025-01-17,59,56,67,81
2025-01-18,38,60,75,69
2025-01-19,40,57,76,56
2025-01-20,48,58,61,60
2025-01-21,54,51,52,53
2025-01-22,56,54,53,52
2025-01-23,49,48,49,58
2025-01-24,54,51,55,66
2025-01-25,44,64,51,54
2025-01-26,59,56,56,46
2025-01-27,55,50,55,47
2025-01-28,59,55,60,56
2025-01-29,49,53,50,54
2025-01-30,49,47,48,53
2025-01-31,53,46,43,51
2025-02-01,47,54,56,56
2025-02-02,43,58,57,51
2025-02-03,50,46,51,55
2025-02-04,58,51,52,62
2025-02-05,52,52,53,54
2025-02-06,57,49,46,55
2025-02-07,56,48,41,56
2025-02-08,41,56,53,43
2025-02-09,42,48,52,43
2025-02-10,100,33,47,48
2025-02-11,57,44,44,51
2025-02-12,55,43,54,55
2025-02-13,57,46,63,55
2025-02-14,46,50,43,49
2025-02-15,43,58,58,52
2025-02-16,49,56,53,45
2025-02-17,44,47,56,48
2025-02-18,58,56,53,55
2025-02-19,51,54,53,51
2025-02-20,55,53,56,58
2025-02-21,60,49,50,63
2025-02-22,50,57,55,51
2025-02-23,49,54,53,44
2025-02-24,57,48,53,62
2025-02-25,48,48,49,59
2025-02-26,57,51,56,56
2025-02-27,54,55,55,50
2025-02-28,49,51,54,48
